ID,Title,Slug,Tagline,Categories,Tags,Sorting,Publish
1,Spatial Mediaguide,spatial-mediaguide,The story around you.,Guides & Narrative Systems | Discovery & Learning,Storytelling | Multi-Language | Mobile-Friendly | QR Code | IoT / NFC / RFID | Educational | Discovery | Phygital | Low Barrier | Personalization | Audio-Driven | Video / Media,2,TRUE
2,Photo- / Videobooth,photo-videobooth,Catch the moment.,Capture & Memory,Content Creation | Shareable | Instant Play | AI-Powered | Interactive | Brand Activation | Memorable | Viral Moment | Easy to Learn | Family Friendly | Event Ready | Single Player,3,TRUE
3,Trail / Scavenger Hunt,trail,Solve challanges.,Gamification & Fun | Discovery & Learning,Gamified | Mobile-Friendly | Discovery | Journey | Educational | Storytelling | Multi-Language | QR Code | Interactive | Participation | Competitive | Leaderboard,6,TRUE
4,Pose Games,pose-games,Match the moment.,Gamification & Fun,Body Tracking | Multiplayer | Fast-Paced | Competitive | High Energy | Spectator Friendly | Family Friendly | Participation | Interactive | Easy to Learn | Repeat Play,4,TRUE
5,Crowd Games,crowd-games,Move as one.,Gamification & Fun | Audience Activation,Collaborative | Multiplayer | Mobile-Friendly | Live Event | Real-Time | Leaderboard | Participation | Team Play | Crowd Activation | Interactive | Gamified,5,TRUE
6,Prize Draw,prize-draw,Playful chance to win.,Gamification & Fun | Audience Activation,Chance-Based | Giveaway | Reward | Real-Time | Participation | Live Event | Gamified | Brand Activation | Token-Based | Memorable | High Energy | Spectator Friendly,12,TRUE
7,The One Big Question,one-big-question,Evolving opinions.,Audience Activation,Voting | Participation | Crowd Activation | Data Collection | Real-Time | Live Event | Interactive | Decision-Making | Large Format,46,FALSE
8,Live Quiz Show,live-quiz-show,"Fast questions, hyped crowd.",Gamification & Fun | Audience Activation,Quiz / Trivia | Participation | Crowd Activation | Competitive | Leaderboard | Real-Time | Live Event | Mobile-Friendly | Educational | Gamified | Easy to Learn | QR Code,9,TRUE
9,Reaction Games,reaction-games,Fast reflexes.,Gamification & Fun,Reflex-Based | Fast-Paced | Competitive | Arcade-Style | High Energy | Spectator Friendly | Repeat Play | Easy to Learn | Versus | Timed Challenge,17,TRUE
10,Pistolero Game,pistolero-game,Quickdraw duel.,Gamification & Fun,Reflex-Based | Competitive | Fast-Paced | Versus | Arcade-Style | Timed Challenge | Repeat Play | Spectator Friendly | Brand Activation | Gamified | Digital-Physical | Easy to Learn | High Energy | Leaderboard | Hardware Required,50,TRUE
11,MultiPlay Game Station,multiplay-game-station,Play together.,Gamification & Fun,Multiplayer | Competitive | Arcade-Style | Modular | Fast-Paced | Leaderboard | Hardware Required | Gamified | Brand Activation | High Energy | Repeat Play | Spectator Friendly,15,TRUE
